"X","视频类型","关联BV号","标题","BV号","播放量","弹幕数","评论数","收藏数","投币数","分享数","点赞数","点踩数","子分区ID","UP主.x","UP主ID","视频链接","抓取小时","抓取时间","稿件发布时间","UP主.y","UP主ID.y","official_role","official_title","official_desc","official_type","if_state"
28796,"热门视频","","黑神话速通挑战赛 1小时速通黑风山和黄风岭","BV1o74y127uz",81540,203,1016,1931,5235,293,8376,0,"单机游戏","EdmundDZhang",433351,"https://www.bilibili.com/video/BV1o74y127uz/",849,"2024-08-25 00:53","2024-08-25 17:32:46",NA,NA,NA,NA,NA,NA,0
28797,"相关视频","BV1o74y127uz","网吧大神徐静雨玩儿黑神话悟空，被虎先锋打到余额不足，耻辱下播，开创网吧直播老哥第一人。","BV1cfWve9E2P",45918,5,35,44,12,155,360,0,"单机游戏","黑神话静雨",349148920,"https://www.bilibili.com/video/BV1cfWve9E2P/",849,"2024-08-25 00:53","2024-08-24 16:25:59",NA,NA,NA,NA,NA,NA,0
28798,"相关视频","BV1o74y127uz","「熟肉」油管弹幕版 | 苦战15个小时 Peko酱终于看到隐藏动画 大赞黑神话悟空 | 兎田ぺこら Pekora | 黑神话悟空 最终章动画反馈","BV1xXWqeiEea",25210,29,64,109,9,7,264,0,"综合","zzzloulou",8286807,"https://www.bilibili.com/video/BV1xXWqeiEea/",849,"2024-08-25 00:53","2024-08-25 04:41:42",NA,NA,NA,NA,NA,NA,0
28799,"相关视频","BV1o74y127uz","【老E】和女朋友一起玩游戏","BV1js41157m2",1656635,10965,8830,9867,48803,5516,29266,0,"单机游戏","EdmundDZhang",433351,"https://www.bilibili.com/video/BV1js41157m2/",849,"2024-08-25 00:53","2018-06-29 04:09:06",NA,NA,NA,NA,NA,NA,0
28800,"相关视频","BV1o74y127uz","《黑神话：悟空》全流程、剧情讲解梳理、4K最高画质攻略【第二回：风起黄昏】03.支线：黄金古国","BV12f421i78F",333805,3977,1206,4058,18103,442,22084,0,"单机游戏","紫雨carol",9064879,"https://www.bilibili.com/video/BV12f421i78F/",849,"2024-08-25 00:53","2024-08-25 00:51:09",NA,NA,NA,NA,NA,NA,0
28801,"相关视频","BV1o74y127uz","女主播被宠物按钮催眠 输入指令就会被控制突发恶疾 【小缘和她的猫儿子们】","BV1af421e76D",30244,36,53,187,12,21,1504,0,"综合","绯吧official",657516,"https://www.bilibili.com/video/BV1af421e76D/",849,"2024-08-25 00:53","2024-08-25 06:47:30",NA,NA,NA,NA,NA,NA,0
28802,"相关视频","BV1o74y127uz","《黑神话悟空》36+1珍玩全收集  般般件件六十七难 保姆级攻略","BV1KvsceKEUs",115250,133,188,2636,1243,140,1527,0,"单机游戏","哎呀sorry",478355387,"https://www.bilibili.com/video/BV1KvsceKEUs/",849,"2024-08-25 00:53","2024-08-24 12:06:03",NA,NA,NA,NA,NA,NA,0
28803,"相关视频","BV1o74y127uz","黑社恐：波奇","BV1hT421z7yV",30264,86,136,1222,703,714,4506,0,"综合","凉风葱叶",8699209,"https://www.bilibili.com/video/BV1hT421z7yV/",849,"2024-08-25 00:53","2024-08-25 03:30:00",NA,NA,NA,NA,NA,NA,0
28804,"相关视频","BV1o74y127uz","【老E】STEAM上目前最难的动作游戏","BV13E411D7sA",2528226,17595,4592,36797,112936,13395,107511,0,"单机游戏","EdmundDZhang",433351,"https://www.bilibili.com/video/BV13E411D7sA/",849,"2024-08-25 00:53","2019-10-05 02:05:13",NA,NA,NA,NA,NA,NA,0
28805,"相关视频","BV1o74y127uz","【老E】7分钟了解“大圣归来“这款游戏到底有多烂","BV13E41117Mg",4771183,12165,7085,24064,56134,13199,124379,0,"单机游戏","EdmundDZhang",433351,"https://www.bilibili.com/video/BV13E41117Mg/",849,"2024-08-25 00:53","2019-10-25 01:00:00",NA,NA,NA,NA,NA,NA,0
