视频类型,关联BV号,text,id,播放量,弹幕数,评论数,收藏数,投币数,分享数,点赞数,点踩数,子分区ID,UP主.x,UP主ID,视频链接,抓取小时,抓取时间,稿件发布时间,UP主.y,UP主ID.y,official_role,official_title,official_desc,official_type,if_state,mid,name,sex,data_follower,archive_count,like_num,condition
相关视频,BV1Hk2UYaEDy,导弹 台湾 蔡 英文 二把手 当场 愣 十多,BV1734y187TR,4459786,3946,1572,4547,739,2679,97570,0,热点,央视网,222103174.0,https://www.bilibili.com/video/BV1734y187TR/,197,2024-10-12 22:53,2022-03-11 01:32:40,央视网,222103174.0,5.0,央视网官方账号,,1.0,1,222103174.0,央视网,保密,4424576,23056,180973571,单个自制视频总播放数>=100万
相关视频,BV1yf421q7gz,火遍 全世界 巴黎 奥运 薰衣草 紫 主播 三农,BV1Xf421q7Pd,237537,463,460,780,473,210,28935,0,综合,央视农业,1343321779.0,https://www.bilibili.com/video/BV1Xf421q7Pd/,481,2024-08-09 16:53,2024-08-08 14:07:18,央视农业,1343321779.0,5.0,CCTV-17农业农村频道新闻部官方账号,,1.0,1,1343321779.0,央视农业,保密,2764441,1244,73329829,单个自制视频总播放数>=100万
热门视频,,起猛 俩 外国人 巴黎 中文 聊天,BV1cT421r7EN,269316,724,609,1840,990,1816,18973,0,竞技体育,央视新闻,456664753.0,https://www.bilibili.com/video/BV1cT421r7EN/,202,2024-07-29 01:53,2024-07-29 03:15:43,央视新闻,456664753.0,5.0,央视新闻官方账号,,1.0,1,456664753.0,央视新闻,保密,19538939,7435,351374038,单个自制视频总播放数>=100万
热门视频,,第六 金 莎头 组合 王楚钦 孙颖莎 击败 神秘 之师 朝鲜 组合 夺冠,BV1bE4m1d7sV,378670,714,2134,1292,1884,858,29345,0,热点,新华社,473837611.0,https://www.bilibili.com/video/BV1bE4m1d7sV/,233,2024-07-30 08:53,2024-07-30 13:37:52,新华社,473837611.0,5.0,新华社官方账号,,1.0,1,473837611.0,新华社,保密,16689285,5404,213681222,
相关视频,BV1ey411e7qy,对话 日本 导演 竹内 亮越 真实 越好 理想 手机,BV1aS421d7dA,63889,150,404,287,192,50,4641,0,日常,观察者网,10330740.0,https://www.bilibili.com/video/BV1aS421d7dA/,83,2024-07-24 02:53,2024-07-01 04:34:17,观察者网,10330740.0,5.0,观察者网 官方账号,,1.0,1,10330740.0,观察者网,保密,7380447,18013,448282665,单个自制视频总播放数>=100万
相关视频,BV1pU411S7YN,荒谬 奶茶 鲁迅 形象 配 轻佻 广告词 引 众议,BV1Di42117td,263758,271,1205,755,197,640,9543,0,热点,央视网快看,451320374.0,https://www.bilibili.com/video/BV1Di42117td/,220,2024-07-29 19:53,2024-04-29 08:00:02,央视网快看,451320374.0,5.0,央视网新闻频道官方账号,,1.0,1,451320374.0,央视网快看,保密,1792020,7783,65688189,
相关视频,BV1GfywY7EmU,中国队 零 失误 裁判 意外 低分 日本 当晚 连串 雷击 变电站 起火,BV1p64y167Ta,2315501,15109,8474,12639,6437,16180,219774,0,环球,北方国际观察,703209803.0,https://www.bilibili.com/video/BV1p64y167Ta/,299,2024-10-17 04:53,2021-07-29 04:03:21,北方国际观察,703209803.0,5.0,北方国际观察官方账号,,1.0,1,703209803.0,北方国际观察,男,75181,1863,5388442,
相关视频,BV1sA28YjEKR,中国 肝脏 外科 父 吴孟超 朗读 念 名字,BV12N411Z7yZ,18454,56,55,268,324,107,4427,0,社会,央视网,222103174.0,https://www.bilibili.com/video/BV12N411Z7yZ/,181,2024-10-12 06:53,2021-05-24 05:02:36,央视网,222103174.0,5.0,央视网官方账号,,1.0,1,222103174.0,央视网,保密,4424576,23056,180973571,单个自制视频总播放数>=100万
相关视频,BV149yAYzEHa,国足 赢,BV1av2oYuEEn,198236,211,1457,571,273,907,9199,0,足球,央视频,433587902.0,https://www.bilibili.com/video/BV1av2oYuEEn/,298,2024-10-17 03:53,2024-10-15 14:39:53,央视频,433587902.0,5.0,央视频官方账号,,1.0,1,433587902.0,央视频,保密,3409472,8343,60984318,单个自制视频总播放数>=100万
相关视频,BV1KE4m1d7tx,撒 贝宁 这招 太 厉害 教 院士 需要 大学,BV1Zi4y1P7aY,465285,28,223,642,80,107,8854,0,综合,央视网,222103174.0,https://www.bilibili.com/video/BV1Zi4y1P7aY/,117,2024-07-25 12:53,2021-03-23 03:54:57,央视网,222103174.0,5.0,央视网官方账号,,1.0,1,222103174.0,央视网,保密,4421260,23041,180721583,单个自制视频总播放数>=100万
